Name,Season,Score,Poster_URL
Tiny Pretty Things,1,7,https://image.tmdb.org/t/p/w220_and_h330_face//hvmOpnLYIYbTWdlV3RuE9iKlIOa.jpg
Always a Witch,2,6,https://image.tmdb.org/t/p/w220_and_h330_face//uzabhHPInLMsIozkW0IBVeXFRrY.jpg
Better Than Us,1,9,https://image.tmdb.org/t/p/w220_and_h330_face//dUigUEoz7IlImY4uJLtqnLRYEU3.jpg
Behind Her Eyes,1,9.5,https://image.tmdb.org/t/p/w220_and_h330_face//sfd90NIf778KoBFmpdBTow4xTm7.jpg
Cursed,1,5.5,https://image.tmdb.org/t/p/w220_and_h330_face//wrLC5kx0nEq9U0MyJD7dnOT6m5F.jpg
Omniscient,1,6,https://image.tmdb.org/t/p/w220_and_h330_face//zqRkvPen8xg2e878b88RAPIPhU8.jpg
Somewhere Between,1,8,https://image.tmdb.org/t/p/w220_and_h330_face//seXbYwMR9fNqEYwaPPvPReZGiJQ.jpg
Sky Rojo,1,8,https://image.tmdb.org/t/p/w220_and_h330_face//vu2uJEdX3UPcF8NC6wvBXGcsDJ4.jpg
Playing with Fire,1,1,https://image.tmdb.org/t/p/w220_and_h330_face//9Hm4tQAP1V80QqgJDAD2SKhDGeW.jpg
Dad Stop Embarrassing Me!,1,6.5,https://image.tmdb.org/t/p/w220_and_h330_face//6uyHcbsxmJRUsFYL9qsbN3QwA7J.jpg
