Name,Season,Score,Poster_URL
Locke & Key,1,8,https://image.tmdb.org/t/p/w220_and_h330_face//zuxGfRKziGHPogipnEXXykdDmyT.jpg
Bridgerton,1,8.5,https://image.tmdb.org/t/p/w220_and_h330_face//luoKpgVwi1E5nQsi7W0UuKHu2Rq.jpg
Orphan Black,5,8.5,https://image.tmdb.org/t/p/w220_and_h330_face//tjFYkWMafg71sihs1aa7IDx17aS.jpg
Russian Doll,1,7,https://image.tmdb.org/t/p/w220_and_h330_face//1ju4vQ1EwlIkQxEgWiYmxOs3iBG.jpg
The Stranger,1,7,https://image.tmdb.org/t/p/w220_and_h330_face//qKtjZ6f8ip6M7pYiDcVs0QXUAly.jpg
The OA,2,4,https://image.tmdb.org/t/p/w220_and_h330_face//rueY4slMeKtTGitm0raFUJvgaa5.jpg
Unbelievable,1,8,https://image.tmdb.org/t/p/w220_and_h330_face//jHOrNJNM03Lsjdw7nsw7TlqBOhd.jpg
Safe,1,5,https://image.tmdb.org/t/p/w220_and_h330_face//lrA2SSoWp3zzb0MBdjWKCVN0qEF.jpg
Alias Grace,1,5,https://image.tmdb.org/t/p/w220_and_h330_face//m6ChYjCPMpzAPzR7jm0omLbu9hS.jpg
Shadow and Bone,1,7,https://image.tmdb.org/t/p/w220_and_h330_face//mS9O9mjPlwpLTne4JgQlDkgREWA.jpg
